2025-08-06 10:06:50 [main] INFO  api.test.BookTests - *********Creating Book*********
2025-08-06 10:06:55 [main] INFO  api.test.BookTests - *********Book is created **********
2025-08-06 10:06:55 [main] INFO  api.test.BookTests - *********Reading Book Info***************
2025-08-06 10:06:56 [main] INFO  api.test.BookTests - *******Book is displayed*******
2025-08-06 10:06:56 [main] INFO  api.test.BookTests - *******Updating Book ***********
2025-08-06 10:06:56 [main] INFO  api.test.BookTests - **********Book Updated***********
2025-08-06 10:06:56 [main] INFO  api.test.BookTests - **********Deleting Book***********
2025-08-06 10:06:57 [main] INFO  api.test.BookTests - ************Book Deleted***********
2025-08-06 10:06:57 [main] INFO  api.test.BookTests2 - *********Creating Book*********
2025-08-06 10:06:57 [main] INFO  api.test.BookTests2 - *********Book is created **********
2025-08-06 10:06:57 [main] INFO  api.test.BookTests2 - *********Reading Book Info***************
2025-08-06 10:06:58 [main] INFO  api.test.BookTests2 - *******Book is displayed*******
2025-08-06 10:06:58 [main] INFO  api.test.BookTests2 - *******Updating Book ***********
2025-08-06 10:06:58 [main] INFO  api.test.BookTests2 - **********Book Updated***********
2025-08-06 10:06:58 [main] INFO  api.test.BookTests2 - **********Deleting Book***********
2025-08-06 10:06:59 [main] INFO  api.test.BookTests2 - ************Book Deleted***********
2025-08-06 10:06:59 [main] INFO  api.test.AuthorTests - ************Creating Author****************
2025-08-06 10:07:00 [main] INFO  api.test.AuthorTests - ***************Author Created***************
2025-08-06 10:07:00 [main] INFO  api.test.AuthorTests - **************Reading Author Info**************
2025-08-06 10:07:00 [main] INFO  api.test.AuthorTests - ***********Author is displayed************
2025-08-06 10:07:00 [main] INFO  api.test.AuthorTests - **************Updating Author*************
2025-08-06 10:07:01 [main] INFO  api.test.AuthorTests - ************ Author Updated ************
2025-08-06 10:07:01 [main] INFO  api.test.AuthorTests - ************ Deleting Author ************
2025-08-06 10:07:01 [main] INFO  api.test.AuthorTests - ************ Author Deleted ************
2025-08-06 10:07:01 [main] INFO  api.test.AuthorTests2 - ************Creating Author****************
2025-08-06 10:07:02 [main] INFO  api.test.AuthorTests2 - ***************Author Created***************
2025-08-06 10:07:02 [main] INFO  api.test.AuthorTests2 - **************Reading Author Info**************
2025-08-06 10:07:02 [main] INFO  api.test.AuthorTests2 - ***********Author is displayed************
2025-08-06 10:07:02 [main] INFO  api.test.AuthorTests2 - **************Updating Author*************
2025-08-06 10:07:03 [main] INFO  api.test.AuthorTests2 - ************ Author Updated ************
2025-08-06 10:07:03 [main] INFO  api.test.AuthorTests2 - ************ Deleting Author ************
2025-08-06 10:07:03 [main] INFO  api.test.AuthorTests2 - ************ Author Deleted ************
2025-08-06 10:07:08 [main] INFO  api.test.CoverPhotoTests - *******creating CoverPhoto***********
2025-08-06 10:07:09 [main] INFO  api.test.CoverPhotoTests - **********CoverPhoto created**********
2025-08-06 10:07:09 [main] INFO  api.test.CoverPhotoTests - **********reading CoverPhoto***********
2025-08-06 10:07:09 [main] INFO  api.test.CoverPhotoTests - ********CoverPhoto is displayed***********
2025-08-06 10:07:09 [main] INFO  api.test.CoverPhotoTests - *********updating CoverPhoto**********
2025-08-06 10:07:10 [main] INFO  api.test.CoverPhotoTests - *********CoverPhoto updated***********
2025-08-06 10:07:10 [main] INFO  api.test.CoverPhotoTests - ***********deleting CoverPhoto***********
2025-08-06 10:07:10 [main] INFO  api.test.CoverPhotoTests - **********CoverPhoto deleted*************
2025-08-06 10:07:10 [main] INFO  api.test.CoverPhotoTests2 - *******creating/Updating CoverPhoto (using PUT) ***********
2025-08-06 10:07:11 [main] INFO  api.test.CoverPhotoTests2 - **********CoverPhoto created/updated**********
2025-08-06 10:07:11 [main] INFO  api.test.CoverPhotoTests2 - **********reading CoverPhoto***********
2025-08-06 10:07:11 [main] INFO  api.test.CoverPhotoTests2 - ********CoverPhoto is displayed***********
2025-08-06 10:07:11 [main] INFO  api.test.CoverPhotoTests2 - *********updating CoverPhoto**********
2025-08-06 10:07:12 [main] INFO  api.test.CoverPhotoTests2 - *********CoverPhoto updated***********
2025-08-06 10:07:12 [main] INFO  api.test.CoverPhotoTests2 - ***********deleting CoverPhoto***********
2025-08-06 10:07:12 [main] INFO  api.test.CoverPhotoTests2 - **********CoverPhoto deleted*************
